GO,evidence,isoform
GO:0000271; GO:0016616; GO:0016628; GO:0051287; GO:0055114,ISS,fig|387092.6.peg.1319|NIS_1260
GO:0047302,ISS,fig|387092.6.peg.1307|NIS_1248
,ISS,fig|387092.6.peg.1487|NIS_1416
GO:0000271; GO:0003979; GO:0051287; GO:0055114,ISS,fig|387092.6.peg.781|NIS_0741
GO:0003978; GO:0006012; GO:0050662,ISS,fig|387092.6.peg.1302
GO:0003978; GO:0006012; GO:0050662,ISS,fig|387092.6.peg.1305
GO:0008759; GO:0009245; GO:0046872; GO:0103117,ISS,fig|387092.6.peg.432|NIS_0418
GO:0009245; GO:0016410,ISS,fig|387092.6.peg.852|NIS_0812
GO:0008121; GO:0016020; GO:0022900; GO:0051537,ISS,fig|387092.6.peg.1660|NIS_1585
GO:0008121; GO:0016021; GO:0020037; GO:0022900; GO:0046872,ISS,fig|387092.6.peg.1658|NIS_1583
GO:0009055; GO:0016021; GO:0022904; GO:0070469,ISS,fig|387092.6.peg.1659|NIS_1584
GO:0008168; GO:0032259,ISS,fig|387092.6.peg.141|NIS_0132
GO:0016831,ISS,fig|387092.6.peg.886|NIS_0846
GO:0003723; GO:0004831; GO:0005524; GO:0005737; GO:0006437,ISS,fig|387092.6.peg.801|NIS_0761
GO:0005524; GO:0016021; GO:0016887; GO:0030253; GO:0030256; GO:0042626,ISS,fig|387092.6.peg.1473|NIS_1403
GO:0015562; GO:0055085,ISS,fig|387092.6.peg.1471|NIS_1401
GO:0005886; GO:0015031; GO:0016020; GO:0016021,ISS,fig|387092.6.peg.1472|NIS_1402
GO:0003677; GO:0006304,ISS,fig|387092.6.peg.1782|NIS_1704
GO:0003677; GO:0005524; GO:0009035; GO:0009307; GO:0090305,ISS,fig|387092.6.peg.1781|NIS_1703
GO:0003677; GO:0008170; GO:0009007; GO:0032775,ISS,fig|387092.6.peg.1786|NIS_1707
GO:0016021,ISS,fig|387092.6.peg.1054|NIS_1011
GO:0016021,ISS,fig|387092.6.peg.1636|NIS_1562
GO:0009297; GO:0009306; GO:0019867,ISS,fig|387092.6.peg.1049|NIS_1006
GO:0009297; GO:0009306; GO:0019867,ISS,fig|387092.6.peg.1640|NIS_1566
,ISS,fig|387092.6.peg.1053|NIS_1010
,ISS,fig|387092.6.peg.1637|NIS_1563
,ISS,fig|387092.6.peg.787
GO:0016021,ISS,fig|387092.6.peg.1523|NIS_1451
GO:0004190; GO:0006508; GO:0008168; GO:0016021; GO:0032259,ISS,fig|387092.6.peg.1158|NIS_1106
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.955|NIS_0914
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1497|NIS_1426
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.127|NIS_0118
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.542|NIS_0512
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.559|NIS_0527
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.938|NIS_0899
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1794|NIS_1714
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1837|NIS_1754
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1920|NIS_1834
GO:0000155; GO:0000160; GO:0005524; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.126|NIS_0117
GO:0000155; GO:0000160; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.560|NIS_0528
GO:0000155; GO:0000160; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.937|NIS_0898
GO:0000155; GO:0000160; GO:0005524; GO:0016021; GO:0023014,ISS,fig|387092.6.peg.1496|NIS_1425
GO:0000155; GO:0000160; GO:0005524; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.1697|NIS_1620
GO:0000155; GO:0000160; GO:0005524; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.1795|NIS_1715
GO:0000155; GO:0000160; GO:0000166; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.1836|NIS_1753
GO:0000155; GO:0000160; GO:0005524; GO:0016021; GO:0023014,ISS,fig|387092.6.peg.1919|NIS_1833
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1696|NIS_1619
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1350|NIS_1288
GO:0000155; GO:0000160; GO:0005524; GO:0016021; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.1351|NIS_1289
GO:0000160; GO:0003677; GO:0006355,ISS,fig|387092.6.peg.425|NIS_0411
GO:0005524,ISS,fig|387092.6.peg.396|NIS_0383
GO:0005524,ISS,fig|387092.6.peg.1228|NIS_1175
GO:0005887; GO:0008320; GO:0033281; GO:0043953,ISS,fig|387092.6.peg.1197|NIS_1145
GO:0005887; GO:0008320; GO:0033281; GO:0043953,ISS,fig|387092.6.peg.1196|NIS_1144
GO:0005887; GO:0008320; GO:0033281; GO:0043953,ISS,fig|387092.6.peg.1570|NIS_1496
GO:0004830; GO:0005524; GO:0006436,ISS,fig|387092.6.peg.1439|NIS_1370
GO:0000162; GO:0004834,ISS,fig|387092.6.peg.746|NIS_0706
GO:0000162; GO:0004834,ISS,fig|387092.6.peg.387|NIS_0374
GO:0002949,ISS,fig|387092.6.peg.890|NIS_0850
,ISS,fig|387092.6.peg.433|NIS_0419
GO:0006400; GO:0035596; GO:0051539,ISS,fig|387092.6.peg.1130|NIS_1081
GO:0000049; GO:0005524; GO:0005737; GO:0006400; GO:0016783,ISS,fig|387092.6.peg.450|NIS_0434
GO:0003723; GO:0016020; GO:0031119; GO:0106029,ISS,fig|387092.6.peg.1547|NIS_1474
GO:0003723; GO:0016829; GO:0031119; GO:0106029,ISS,fig|387092.6.peg.1160|NIS_1108
GO:0003723; GO:0031119; GO:0106029,ISS,fig|387092.6.peg.732|NIS_0692
GO:0009451; GO:0016853,ISS,fig|387092.6.peg.1287|NIS_1230
GO:0005737; GO:0006400; GO:0035596; GO:0046872; GO:0051539,ISS,fig|387092.6.peg.1556|NIS_1483
GO:0002098; GO:0008168; GO:0016765; GO:0032259,ISS,fig|387092.6.peg.1094|NIS_1050
GO:0005524; GO:0008033; GO:0052381,ISS,fig|387092.6.peg.317|NIS_0303
GO:0002943; GO:0017150; GO:0050660; GO:0055114,ISS,fig|387092.6.peg.1249|NIS_1194
GO:0002098; GO:0005737; GO:0050660,ISS,fig|387092.6.peg.1662|NIS_1587
GO:0003924; GO:0005525; GO:0005737; GO:0006400; GO:0046872,ISS,fig|387092.6.peg.922|NIS_0883
GO:0030488; GO:0030697,ISS,fig|387092.6.peg.742|NIS_0702
GO:0005524; GO:0005737; GO:0006400; GO:0016879,ISS,fig|387092.6.peg.1552|NIS_1479
GO:0008176; GO:0106004,ISS,fig|387092.6.peg.794|NIS_0754
GO:0005737; GO:0030488; GO:0052906,ISS,fig|387092.6.peg.1575|NIS_1501
GO:0005524; GO:0008033; GO:0016740; GO:0016879; GO:0046872; GO:0051539,ISS,fig|387092.6.peg.1265|NIS_1208
GO:0003723; GO:0005737; GO:0008175; GO:0008757; GO:0030488,ISS,fig|387092.6.peg.770|NIS_0730
GO:0008152; GO:0016740,ISS,fig|387092.6.peg.1675|NIS_1599
GO:0003676; GO:0008168; GO:0032259,ISS,fig|387092.6.peg.1034|NIS_0992
GO:0005886; GO:0015379; GO:0016021; GO:0046872; GO:0071805,ISS,fig|387092.6.peg.1824|NIS_1741
GO:0005886; GO:0015079; GO:0071805,ISS,fig|387092.6.peg.1822|NIS_1740
GO:0006813; GO:0008324; GO:0098655,ISS,fig|387092.6.peg.1133|NIS_1084
GO:0004807; GO:0005737; GO:0006094; GO:0006096,ISS,fig|387092.6.peg.1564|NIS_1490
GO:0031317; GO:0042597; GO:0046872; GO:0055085,ISS,fig|387092.6.peg.832|NIS_0791
GO:0004803; GO:0006313; GO:0043565,ISS,fig|387092.6.peg.785|NIS_0743
GO:0003676; GO:0015074; GO:0032196,ISS,fig|387092.6.peg.786|NIS_0744
GO:0003676; GO:0015074; GO:0032196,ISS,fig|387092.6.peg.1303|NIS_1245
GO:0004803; GO:0006313; GO:0043565,ISS,fig|387092.6.peg.1304|NIS_1246
GO:0003743; GO:0005737; GO:0006413,ISS,fig|387092.6.peg.116|NIS_0109
GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0006413,ISS,fig|387092.6.peg.436|NIS_0421
GO:0003743; GO:0005737; GO:0006413; GO:0019843; GO:0043022,ISS,fig|387092.6.peg.258|NIS_0244
GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006414,ISS,fig|387092.6.peg.274|NIS_0260
GO:0003746; GO:0005737; GO:0006414,ISS,fig|387092.6.peg.1610|NIS_1536
GO:0003746; GO:0005737; GO:0006414,ISS,fig|387092.6.peg.707|NIS_0670
GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0006414; GO:0043022; GO:0045727,ISS,fig|387092.6.peg.452|NIS_0436
GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006414,ISS,fig|387092.6.peg.286|NIS_0272
GO:0004802; GO:0016021; GO:0046872,ISS,fig|387092.6.peg.272|NIS_0258
,ISS,fig|387092.6.peg.1050|NIS_1007
GO:0016021,ISS,fig|387092.6.peg.1051|NIS_1008
GO:0003723; GO:0031564,ISS,fig|387092.6.peg.1429|NIS_1360
GO:0003700; GO:0003723; GO:0005737; GO:0031564,ISS,fig|387092.6.peg.1558|NIS_1485
GO:0003723; GO:0004386; GO:0005524; GO:0006353; GO:0008186,ISS,fig|387092.6.peg.1527|NIS_1455
GO:0000716; GO:0003684; GO:0004386; GO:0005524; GO:0005737; GO:0006355,ISS,fig|387092.6.peg.1533|NIS_1461
GO:0003677; GO:0003746; GO:0006414; GO:0032784; GO:0070063,ISS,fig|387092.6.peg.1377|NIS_1313
GO:0031564; GO:0032784,ISS,fig|387092.6.peg.277|NIS_0263
,ISS,fig|387092.6.peg.1395|NIS_1328
GO:0006281; GO:0006508; GO:0008236; GO:0009432; GO:0016021,ISS,fig|387092.6.peg.294|NIS_0280
GO:0003677; GO:0004519; GO:0090305,ISS,fig|387092.6.peg.365|NIS_0353
GO:0003677; GO:0003700; GO:0006355,ISS,fig|387092.6.peg.181|NIS_0169
GO:0003677; GO:0003700; GO:0006355,ISS,fig|387092.6.peg.1545|NIS_1472
GO:0003677,ISS,fig|387092.6.peg.520|NIS_0490
GO:0003677; GO:0006355; GO:0016301; GO:0016310,ISS,fig|387092.6.peg.12|NIS_0011
GO:0003677; GO:0006355,ISS,fig|387092.6.peg.1882|NIS_1798
GO:0003677,ISS,fig|387092.6.peg.804|NIS_0764
GO:0003677,ISS,fig|387092.6.peg.78|NIS_0073
GO:0003677; GO:0016021,ISS,fig|387092.6.peg.1002|NIS_0960
GO:0003677,ISS,fig|387092.6.peg.1022|NIS_0980
GO:0003677,ISS,fig|387092.6.peg.1803|NIS_1722
GO:0003677; GO:0050794,ISS,fig|387092.6.peg.1819|NIS_1738
GO:0016740; GO:0016884,ISS,fig|387092.6.peg.1030|NIS_0988
GO:0004801; GO:0005737; GO:0005975; GO:0006098,ISS,fig|387092.6.peg.395|NIS_0382
GO:0016020; GO:0016021,ISS,fig|387092.6.peg.1764|NIS_1687
,ISS,fig|387092.6.peg.1398|NIS_1330
GO:0009279; GO:0016021,ISS,fig|387092.6.peg.552|NIS_0520
GO:0009279; GO:0016021,ISS,fig|387092.6.peg.587|NIS_0553
GO:0009279; GO:0016021,ISS,fig|387092.6.peg.908|NIS_0869
GO:0009279; GO:0016021,ISS,fig|387092.6.peg.993|NIS_0951
GO:0016020,ISS,fig|387092.6.peg.1698|NIS_1621
GO:0015031; GO:0016021; GO:0051301,ISS,fig|387092.6.peg.1275|NIS_1218
GO:0007049; GO:0009279; GO:0016021; GO:0051301,ISS,fig|387092.6.peg.1271|NIS_1214
,ISS,fig|387092.6.peg.1272|NIS_1215
GO:0005886; GO:0015031; GO:0016021; GO:0022857; GO:0051301; GO:0055085,ISS,fig|387092.6.peg.1274|NIS_1217
GO:0016021,ISS,fig|387092.6.peg.1273|NIS_1216
GO:0003723; GO:0005737; GO:0070929,ISS,fig|387092.6.peg.1549|NIS_1476
GO:0006231; GO:0006235; GO:0032259; GO:0050660; GO:0050797,ISS,fig|387092.6.peg.1941|NIS_1855
GO:0004798; GO:0005524; GO:0006233; GO:0006235; GO:0016310; GO:0046940,ISS,fig|387092.6.peg.859|NIS_0819
GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0016787; GO:0046872,ISS,fig|387092.6.peg.115|NIS_0108
GO:0003725,ISS,fig|387092.6.peg.578|NIS_0546
GO:0006520; GO:0030170,ISS,fig|387092.6.peg.1084|NIS_1040
GO:0004794; GO:0006567; GO:0030170,ISS,fig|387092.6.peg.848|NIS_0808
GO:0016740,ISS,fig|387092.6.peg.1205|NIS_1152
GO:0016740,ISS,fig|387092.6.peg.1906|NIS_1820
GO:0004791; GO:0005737; GO:0019430; GO:0055114,ISS,fig|387092.6.peg.1623|NIS_1549
GO:0004791; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.1815|NIS_1734
GO:0005623; GO:0016209; GO:0016491; GO:0045454; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.1709|NIS_1632
GO:0005623; GO:0006662; GO:0015035; GO:0045454; GO:0055114,ISS,fig|387092.6.peg.1355|NIS_1293
GO:0005623; GO:0045454,ISS,fig|387092.6.peg.85|NIS_0080
GO:0005623; GO:0006662; GO:0015035; GO:0045454; GO:0055114,ISS,fig|387092.6.peg.188|NIS_0176
GO:0005623; GO:0045454,ISS,fig|387092.6.peg.1299|NIS_1241
GO:0005623; GO:0006662; GO:0015035; GO:0045454; GO:0055114,ISS,fig|387092.6.peg.1624|NIS_1550
GO:0005623; GO:0008379; GO:0045454; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.1740|NIS_1662
GO:0004601; GO:0005623; GO:0045454; GO:0051920; GO:0055114; GO:0098869,ISS,fig|387092.6.peg.1612|NIS_1538
GO:0004789,ISS,fig|387092.6.peg.894|NIS_0854
GO:0005737; GO:0009228; GO:0009229; GO:0016783,ISS,fig|387092.6.peg.186|NIS_0174
GO:0004789,ISS,fig|387092.6.peg.1252|NIS_1197
GO:0000287; GO:0005524; GO:0009030; GO:0009228; GO:0009229; GO:0016310,ISS,fig|387092.6.peg.731|NIS_0691
GO:0005524; GO:0009029; GO:0009245; GO:0016020; GO:0016310,ISS,fig|387092.6.peg.1087|NIS_1043
GO:0008168; GO:0016740; GO:0032259,ISS,fig|387092.6.peg.1001|NIS_0959
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.152|NIS_0142
GO:0009055; GO:0020037; GO:0022900; GO:0046872,ISS,fig|387092.6.peg.1918|NIS_1832
GO:0009055; GO:0016669; GO:0016740; GO:0019417; GO:0020037; GO:0022900; GO:0042597; GO:0046872; GO:0070069,ISS,fig|387092.6.peg.1915|NIS_1829
,ISS,fig|387092.6.peg.37|NIS_0035
,ISS,fig|387092.6.peg.1916|NIS_1830
GO:0005506; GO:0016491; GO:0055114,ISS,fig|387092.6.peg.36|NIS_0034
GO:0005506; GO:0016491; GO:0055114,ISS,fig|387092.6.peg.1917|NIS_1831
,ISS,fig|387092.6.peg.1106|NIS_1061
,ISS,fig|387092.6.peg.128|NIS_0119
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.157|NIS_0146
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.338|NIS_0326
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.169|NIS_0158
GO:0015116; GO:0016021; GO:1902358,ISS,fig|387092.6.peg.1057|NIS_1014
GO:0004781,ISS,fig|387092.6.peg.628|NIS_0593
GO:0016021; GO:0047360,ISS,fig|387092.6.peg.1308|NIS_1249
GO:0003677,ISS,fig|387092.6.peg.1748|NIS_1670
GO:0000287; GO:0004775; GO:0005524; GO:0006099,ISS,fig|387092.6.peg.878|NIS_0838
GO:0000166; GO:0004775; GO:0006099; GO:0048037,ISS,fig|387092.6.peg.879|NIS_0839
GO:0006099; GO:0008177; GO:0009055; GO:0022900; GO:0046872; GO:0051537; GO:0051538; GO:0051539,ISS,fig|387092.6.peg.11|NIS_0010
GO:0006099; GO:0008177; GO:0009055; GO:0022900; GO:0046872; GO:0051537; GO:0051538; GO:0051539,ISS,fig|387092.6.peg.729|NIS_0689
GO:0016491; GO:0055114,ISS,fig|387092.6.peg.6|NIS_0006
GO:0005886; GO:0006099; GO:0008177; GO:0022900; GO:0050660,ISS,fig|387092.6.peg.730|NIS_0690
GO:0000154; GO:0008170; GO:0016433; GO:0032259,ISS,fig|387092.6.peg.66|NIS_0061
GO:0003735; GO:0005840; GO:0006412,ISS,fig|387092.6.peg.1686|NIS_1609
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.251|NIS_0237
GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843,ISS,fig|387092.6.peg.285|NIS_0271
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.1217|NIS_1164
GO:0003735; GO:0006412; GO:0015935; GO:0019843,ISS,fig|387092.6.peg.254|NIS_0240
GO:0003735; GO:0006412; GO:0015935; GO:0019843,ISS,fig|387092.6.peg.262|NIS_0248
GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.243|NIS_0229
GO:0003735; GO:0006412; GO:0015935,ISS,fig|387092.6.peg.1611|NIS_1537
GO:0003735; GO:0005840; GO:0006412,ISS,fig|387092.6.peg.148|NIS_0138
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.112|NIS_0105
GO:0003723; GO:0003735; GO:0005840; GO:0006412,ISS,fig|387092.6.peg.700|NIS_0663
GO:0003735; GO:0006412; GO:0015935; GO:0019843,ISS,fig|387092.6.peg.241|NIS_0227
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.1219|NIS_1166
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.246|NIS_0232
GO:0003735; GO:0005840; GO:0006412,ISS,fig|387092.6.peg.1578|NIS_1504
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.1176|NIS_1124
GO:0003735; GO:0005840; GO:0006412; GO:0008270; GO:0019843,ISS,fig|387092.6.peg.250|NIS_0236
GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.260|NIS_0246
GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843,ISS,fig|387092.6.peg.284|NIS_0270
GO:0003735; GO:0005840; GO:0006412; GO:0019843,ISS,fig|387092.6.peg.261|NIS_0247
GO:0000049; GO:0003735; GO:0005840; GO:0006412,ISS,fig|387092.6.peg.236|NIS_0222
GO:0005506; GO:0009372; GO:0043768,ISS,fig|387092.6.peg.1677|NIS_1601
GO:0004766; GO:0005737; GO:0008295,ISS,fig|387092.6.peg.107|NIS_0100
GO:0000166; GO:0009166; GO:0016788; GO:0046872,ISS,fig|387092.6.peg.1914|NIS_1828
,ISS,fig|387092.6.peg.839|NIS_0799
GO:0005328; GO:0006836; GO:0016021; GO:0055085,ISS,fig|387092.6.peg.189|NIS_0177
GO:0015321; GO:0016021; GO:0044341,ISS,fig|387092.6.peg.1834|NIS_1751
GO:0016021; GO:0022857; GO:0055085,ISS,fig|387092.6.peg.1212|NIS_1159
GO:0015299; GO:0016021; GO:1902600,ISS,fig|387092.6.peg.1732|NIS_1654
GO:0009294,ISS,fig|387092.6.peg.1211|NIS_1158
GO:0003677,ISS,fig|387092.6.peg.1859|NIS_1776
GO:0003676; GO:0006281; GO:0006310; GO:0008409; GO:0090305,ISS,fig|387092.6.peg.168|NIS_0157
GO:0003697; GO:0006260; GO:0006281; GO:0006310,ISS,fig|387092.6.peg.1218|NIS_1165
GO:0008815; GO:0046872,ISS,fig|387092.6.peg.753|NIS_0713
GO:0000155; GO:0000160; GO:0016021; GO:0023014,ISS,fig|387092.6.peg.1415|NIS_1346
GO:0000155; GO:0000160; GO:0005524; GO:0005737; GO:0006935; GO:0018106; GO:0023014,ISS,fig|387092.6.peg.639|NIS_0604
GO:0003924; GO:0005525; GO:0005737; GO:0006614; GO:0031226,ISS,fig|387092.6.peg.1100|NIS_1056
GO:0003924; GO:0005525; GO:0006614; GO:0008312; GO:0048500,ISS,fig|387092.6.peg.1579|NIS_1505
GO:0006508; GO:0008236; GO:0016021,ISS,fig|387092.6.peg.750|NIS_0710
GO:0000287; GO:0004765; GO:0005524; GO:0005737; GO:0009073; GO:0009423; GO:0016310,ISS,fig|387092.6.peg.714|NIS_0677
GO:0004764; GO:0009073; GO:0009423; GO:0019632; GO:0050661; GO:0055114,ISS,fig|387092.6.peg.1234|NIS_1181
