"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"71","NIS_RS00355",2270.06085406531,-1.25227919828357,0.35347639547461,-3.54275197528293,0.00039597493062971,0.00178718905551571,61,"  hypothetical protein","  WP_011979611.1"," transl_table 11"," ","NIS_0068","hypothetical protein","","","","",NA,NA,NA
"98","NIS_RS00500",692.355235588947,-1.41502014961096,0.296650734831839,-4.76998700311021,1.84237805993619e-06,1.73797663653981e-05,1521,"  nitrous oxide reductase family maturation protein NosD","  WP_011979639.1"," transl_table 11","  nosD","NIS_0096","nitrous oxide reductase family maturation protein NosD","","","","",NA,NA,NA
"118","NIS_RS00610",2021.78179925161,-2.3282127650316,0.615028466877958,-3.7855365896317,0.000153377263461256,0.000791250934679032,102,"  heme-binding domain-containing protein","  WP_197524237.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","NIS_RS00615",879.129480550818,-1.56053083227956,0.493926613582238,-3.15943864810544,0.0015807337794907,0.00592040403845747,103,"  HAMP domain-containing histidine kinase","  WP_011979658.1"," transl_table 11"," ","NIS_0117","HAMP domain-containing histidine kinase","F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0018106; P:GO:0023014","F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:peptidyl-histidine phosphorylation; P:signal transduction by protein phosphorylation","EC:2.7.13.3","Histidine kinase",NA,NA,NA
"120","NIS_RS00620",7038.44850248782,-2.24554156982194,0.455398078644236,-4.93094212541945,8.18339782624088e-07,8.62303781584212e-06,104,"  response regulator transcription factor","  WP_011979659.1"," transl_table 11"," ","NIS_0118","response regulator transcription factor","P:GO:0000160; F:GO:0003677; P:GO:0006355","P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated","","",NA,NA,NA
"140","NIS_RS00755",946.75284059456,-1.4775923082485,0.297678562964658,-4.96371755336622,6.91564952498935e-07,7.44559875489342e-06,123,"  nucleotidyltransferase substrate binding protein","  WP_011979680.1"," transl_table 11"," ","NIS_0139","nucleotidyltransferase","F:GO:0016740","F:transferase activity","","",NA,NA,NA
"141","NIS_RS00760",981.462065340817,-1.49960726173575,0.339249621828467,-4.42036531582042,9.85341832112646e-06,7.50754680544289e-05,124,"  nucleotidyltransferase domain-containing protein","  WP_041354102.1"," transl_table 11"," ","NIS_0140","nucleotidyltransferase domain-containing protein","F:GO:0016740","F:transferase activity","","",NA,NA,NA
"152","NIS_RS00815",2297.70249547932,-2.18477270719441,0.349358964520105,-6.25366150313478,4.00939529435141e-10,1.16803118795738e-08,134,"  GGDEF domain-containing protein","  WP_011979691.1"," transl_table 11"," ","NIS_0150","GGDEF domain-containing protein","","","","",NA,NA,NA
"161","NIS_RS00870",6340.22612658804,-1.2402219794615,0.451830694350207,-2.74488208740467,0.00605326427624501,0.017404232991642,143,"  NifU family protein","  WP_012081539.1"," transl_table 11"," ","NIS_0161","iron-sulfur cluster assembly scaffold protein NifU","F:GO:0005506; P:GO:0016226; F:GO:0051536","F:iron ion binding; P:iron-sulfur cluster assembly; F:iron-sulfur cluster binding","","",NA,NA,NA
"162","NIS_RS00875",801.570545163615,-1.01146020582783,0.362666149558446,-2.78895675005596,0.00528781260477138,0.0157048827137213,144,"  EAL domain-containing protein","  WP_012081540.1"," transl_table 11"," ","NIS_0162","EAL domain-containing protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"173","NIS_RS00930",249.065226630432,-1.82827486909958,0.37746245565212,-4.84359395675781,1.27511381315135e-06,1.23823552149649e-05,152,"  cation:proton antiporter","  WP_012081550.1"," transl_table 11"," ","NIS_0173","HAD-IC family P-type ATPase","F:GO:0000166; F:GO:0015299; C:GO:0016021; P:GO:1902600","F:nucleotide binding; F:solute:proton antiporter activity; C:integral component of membrane; P:proton transmembrane transport","","",NA,NA,NA
"178","NIS_RS00955",168.83773455883,-1.13664325883672,0.380165838522746,-2.98986164368031,0.00279103836554914,0.00924589799691111,156,"  hypothetical protein","  WP_012081555.1"," transl_table 11"," ","NIS_0178","hypothetical protein","","","","",NA,NA,NA
"179","NIS_RS00965",588.202946643152,-1.78481671559137,0.317565510601992,-5.62031031709959,1.90614768664133e-08,3.37149872074685e-07,158,"  polysaccharide deacetylase family protein","  WP_012081557.1"," transl_table 11"," ","NIS_0180","polysaccharide deacetylase family protein","P:GO:0005975; C:GO:0016021; F:GO:0016810","P:carbohydrate metabolic process; C:integral component of membrane; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","","",NA,NA,NA
"180","NIS_RS00970",192.51411456263,-2.01390447857165,0.384576065636342,-5.23668698736967,1.63484604192914e-07,2.15908667270776e-06,159,"  hypothetical protein","  WP_041353948.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","NIS_RS00985",342.814139081633,-1.15195605311023,0.301726637695629,-3.81787985942521,0.000134603441621038,0.00070917398364701,162,"  tetratricopeptide repeat protein","  WP_012081560.1"," transl_table 11"," ","NIS_0183","tetratricopeptide repeat protein","P:GO:0006396","P:RNA processing","","",NA,NA,NA
"188","NIS_RS01010",302.362266945586,-1.38311858030046,0.416249846564569,-3.32280862495383,0.00089116030072979,0.00355208964938775,167,"  right-handed parallel beta-helix repeat-containing protein","  WP_012081565.1"," transl_table 11"," ","NIS_0188","right-handed parallel beta-helix repeat-containing protein","","","","",NA,NA,NA
"189","NIS_RS01015",467.680974907084,-1.19483388439705,0.34320625886156,-3.48138722283328,0.000498823791055006,0.00216331521438234,168,"  PilZ domain-containing protein","  WP_012081566.1"," transl_table 11"," ","NIS_0189","HlyD family efflux transporter periplasmic adaptor subunit","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"198","NIS_RS01095",285.010697131812,-1.2803474752574,0.328778197348814,-3.89425906456636,9.84993380881778e-05,0.000539025383294696,179,"  phosphoglycolate phosphatase","  WP_012081576.1"," transl_table 11"," ","NIS_0199","phosphoglycolate phosphatase","P:GO:0005975; F:GO:0008967; P:GO:0016311; P:GO:0046295; F:GO:0046872","P:carbohydrate metabolic process; F:phosphoglycolate phosphatase activity; P:dephosphorylation; P:glycolate biosynthetic process; F:metal ion binding","EC:3.1.3.18","Phosphoglycolate phosphatase",NA,NA,NA
"199","NIS_RS01100",98.3851636563024,-1.26832265929169,0.437460303079583,-2.8992862903516,0.00374013215887418,0.0116864381809618,180,"  translocation/assembly module TamB domain-containing protein","  WP_012081577.1"," transl_table 11"," ","NIS_0200","translocation and assembly module TamB","C:GO:0005887; P:GO:0009306","C:integral component of plasma membrane; P:protein secretion","","",NA,NA,NA
"200","NIS_RS01105",435.5636251275,-1.45592682034578,0.373691939754831,-3.89606160973386,9.776952843866e-05,0.000538003988436071,181,"  BamA/TamA family outer membrane protein","  WP_012081578.1"," transl_table 11"," ","NIS_0201","BamA/TamA family outer membrane protein","C:GO:0019867","C:outer membrane","","",NA,NA,NA
"201","NIS_RS01110",655.363063662111,-1.10385360181965,0.316389872208773,-3.48890308692075,0.000485006955950449,0.00212566101711911,182,"  hypothetical protein","  WP_012081579.1"," transl_table 11"," ","NIS_0202","hypothetical protein","F:GO:0048037","F:cofactor binding","","",NA,NA,NA
"205","NIS_RS01130",266.575930878029,-1.32705810511226,0.371167379579928,-3.57536297132084,0.000349742324649943,0.00160379524336004,1537,"  A/G-specific adenine glycosylase","  WP_012081583.1"," transl_table 11","  mutY","NIS_0206","A/G-specific adenine glycosylase","F:GO:0003677; P:GO:0006284; F:GO:0019104; F:GO:0051539","F:DNA binding; P:base-excision repair; F:DNA N-glycosylase activity; F:4 iron, 4 sulfur cluster binding","","",NA,NA,NA
"207","NIS_RS01140",4787.01605144155,-1.84683774991142,0.535924164118746,-3.44608038517593,0.000568781139709794,0.00241793012395945,186,"  DUF2267 domain-containing protein","  WP_012081585.1"," transl_table 11"," ","NIS_0208","DUF2267 domain-containing protein","","","","",NA,NA,NA
"219","NIS_RS01205",1755.19678710283,-2.82027682111363,0.417137549970204,-6.7610236031618,1.37020197036262e-11,6.03193356286302e-10,196,"  prevent-host-death protein","  WP_012081596.1"," transl_table 11"," ","NIS_0219","prevent-host-death family protein","","","","",NA,NA,NA
"220","NIS_RS01210",1042.50537370929,-2.78643269377479,0.36768817743469,-7.57824935578662,3.50248751092746e-14,5.337252122421e-12,197,"  type II toxin-antitoxin system VapC family toxin","  WP_012081597.1"," transl_table 11"," ","NIS_0220","type II toxin-antitoxin system VapC family toxin","","","","",NA,NA,NA
"221","NIS_RS01215",314.757661662089,-1.9264569986001,0.39945144073568,-4.82275641577883,1.41587837388756e-06,1.36158012556857e-05,198,"  ATP-binding protein","  WP_012081598.1"," transl_table 11"," ","NIS_0221","ATP-binding protein","","","","",NA,NA,NA
"274","NIS_RS01510",1664.36382803437,-1.34986119985342,0.338713318092427,-3.98526165860733,6.74058063600799e-05,0.000392737948233289,218,"  hypothetical protein","  WP_012081651.1"," transl_table 11"," ","NIS_0274","hypothetical protein NIS_0274","","","","",NA,NA,NA
"276","NIS_RS01520",1677.31403210851,-2.29757425368256,0.324920067422641,-7.07119837782743,1.53601366380852e-12,1.01428102266823e-10,220,"  chemotaxis protein CheW","  WP_012081653.1"," transl_table 11"," ","NIS_0276","Chemotaxis signal transduction protein","P:GO:0006935; P:GO:0007165","P:chemotaxis; P:signal transduction","","",NA,NA,NA
"283","NIS_RS01555",1695.26698948619,-1.10893046015366,0.27489286284212,-4.0340460231976,5.48245726981575e-05,0.000324201428403135,1574,"  Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB","  WP_148164055.1"," transl_table 11","  tviB","NIS_0283","Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB","P:GO:0000271; F:GO:0016616; F:GO:0016628; F:GO:0051287; P:GO:0055114","P:polysaccharide biosynthetic process; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; F:NAD binding; P:oxidation-reduction process","","",NA,NA,NA
"284","NIS_RS01560",1635.41456635801,-2.34087343321125,0.322129038886515,-7.26688112721166,3.67882264400327e-13,3.47035602750975e-11,227,"  hypothetical protein","  WP_012081661.1"," transl_table 11"," ","NIS_0284","hypothetical protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"301","NIS_RS01645",2480.86873526168,-1.17865175325471,0.410152044845261,-2.87369468973239,0.00405700942000221,0.0125619350177631,238,"  NADH-quinone oxidoreductase subunit M","  WP_012081678.1"," transl_table 11"," ","NIS_0301","NADH-quinone oxidoreductase subunit M","F:GO:0008137; C:GO:0016021; P:GO:0042773","F:NADH dehydrogenase (ubiquinone) activity; C:integral component of membrane; P:ATP synthesis coupled electron transport","EC:7.1.1.2; EC:1.6.5.11; EC:1.6.99.3","n/a; NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"305","NIS_RS01670",921.778010788091,-1.90646285825897,0.335759367742834,-5.6780630457917,1.36228508428908e-08,2.59489110766988e-07,240,"  EAL domain-containing protein","  WP_012081682.1"," transl_table 11"," ","NIS_0305","EAL domain-containing protein","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"307","NIS_RS01680",593.517896562899,-1.71282886112834,0.314298325440838,-5.44969133617212,5.04573134917161e-08,7.87054630134564e-07,242,"  TonB-dependent receptor plug domain-containing protein","  WP_012081684.1"," transl_table 11"," ","NIS_0307","TonB-dependent receptor plug domain-containing protein","C:GO:0009279","C:cell outer membrane","","",NA,NA,NA
"322","NIS_RS01765",250.893130046022,-1.39910808191219,0.503928254494647,-2.77640332613469,0.0054963977976987,0.0161548427852242,252,"  dicarboxylate/amino acid:cation symporter","  WP_012081700.1"," transl_table 11"," ","NIS_0323","dicarboxylate/amino acid:cation symporter","F:GO:0015293; C:GO:0016021; P:GO:0055085","F:symporter activity; C:integral component of membrane; P:transmembrane transport","","",NA,NA,NA
"346","NIS_RS01895",401.521462152976,-1.01560186366452,0.372508909062244,-2.7263827493984,0.00640326980823593,0.0183572756731047,275,"  ABC transporter ATP-binding protein","  WP_012081726.1"," transl_table 11"," ","NIS_0349","ABC transporter ATP-binding protein","F:GO:0005524; F:GO:0016887","F:ATP binding; F:ATPase activity","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase",NA,NA,NA
"349","NIS_RS01910",1147.40088535896,-1.61742703580887,0.512863550780027,-3.15371804712752,0.00161204750708797,0.00600092774276361,278,"  AbrB/MazE/SpoVT family DNA-binding domain-containing protein","  WP_012081729.1"," transl_table 11"," ","NIS_0352","AbrB/MazE/SpoVT family DNA-binding domain-containing protein","F:GO:0003677","F:DNA binding","","",NA,NA,NA
"350","NIS_RS01915",1033.10877565757,-1.69671552895839,0.419167877094945,-4.04781859888101,5.1697186890574e-05,0.000310339779485537,279,"  type II toxin-antitoxin system PemK/MazF family toxin","  WP_012081730.1"," transl_table 11"," ","NIS_0353","type II toxin-antitoxin system PemK/MazF family toxin","F:GO:0003677; F:GO:0004519; P:GO:0090305","F:DNA binding; F:endonuclease activity; P:nucleic acid phosphodiester bond hydrolysis","","",NA,NA,NA
"354","NIS_RS01935",162.530270685893,-1.21529834172194,0.397016540687274,-3.06107735364915,0.00220542109438807,0.0076246757207378,283,"  hypothetical protein","  WP_012081734.1"," transl_table 11"," ","NIS_0357","hypothetical protein","C:GO:0016021; F:GO:0046872","C:integral component of membrane; F:metal ion binding","","",NA,NA,NA
"367","NIS_RS02005",358.619571558212,-1.07793135364685,0.343369677805544,-3.1392735681725,0.00169367251041661,0.00618463224592893,291,"  AI-2E family transporter","  WP_012081748.1"," transl_table 11"," ","NIS_0371","AI-2E family transporter","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"408","NIS_RS02240",2035.6764271531,-1.229808263086,0.327865789960901,-3.75095023861031,0.000176165662938422,0.000885746645383282,1608,"  glycerol-3-phosphate 1-O-acyltransferase PlsY","  WP_012081790.1"," transl_table 11","  plsY","NIS_0413","glycerol-3-phosphate 1-O-acyltransferase PlsY","C:GO:0005886; P:GO:0008654; C:GO:0016021; F:GO:0043772","C:plasma membrane; P:phospholipid biosynthetic process; C:integral component of membrane; F:acyl-phosphate glycerol-3-phosphate acyltransferase activity","","",NA,NA,NA
"425","NIS_RS02330",5941.62629955081,-1.06907401299262,0.343195691442373,-3.11505662702102,0.00183909599930119,0.00657521709436861,1616,"  type II 3-dehydroquinate dehydratase","  WP_012081807.1"," transl_table 11","  aroQ","NIS_0430","type II 3-dehydroquinate dehydratase","F:GO:0003855; P:GO:0009073; P:GO:0009423; C:GO:0016021","F:3-dehydroquinate dehydratase activity; P:aromatic amino acid family biosynthetic process; P:chorismate biosynthetic process; C:integral component of membrane","EC:4.2.1.10","3-dehydroquinate dehydratase",NA,NA,NA
"439","NIS_RS02400",3849.79967702301,-3.11760170542876,0.417081383295073,-7.47480427152785,7.73188478353603e-14,8.50936875343605e-12,342,"  hypothetical protein","  WP_012081819.1"," transl_table 11"," ","NIS_0442","hypothetical protein","","","","",NA,NA,NA
"446","NIS_RS02440",32702.6108364512,-2.14731095839275,0.444131901863229,-4.83484962324101,1.33246323448837e-06,1.28761447196169e-05,351,"  hypothetical protein","  WP_041353977.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","NIS_RS02485",3176.92313314358,-2.06059363192101,0.581600895769138,-3.54296846327235,0.000395650013633964,0.00178718905551571,361,"  hypothetical protein","  WP_012081833.1"," transl_table 11"," ","NIS_0456","hypothetical protein","","","","",NA,NA,NA
"456","NIS_RS02500",3800.01405501566,-2.1511374359465,0.542109266826764,-3.96808829433627,7.24514923497686e-05,0.000417227925421197,363,"  hypothetical protein","  WP_041353980.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","NIS_RS02510",2133.51870649807,-2.42866683105359,0.372874171354292,-6.51336836293215,7.34840053233619e-11,2.55389148325579e-09,365,"  hypothetical protein","  WP_041353981.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","NIS_RS02515",2280.13376170773,-2.04610462083791,0.361837311214888,-5.65476405395565,1.5606050520439e-08,2.86255426675831e-07,366,"  hypothetical protein","  WP_012081836.1"," transl_table 11"," ","NIS_0459","hypothetical protein","F:GO:0003677; P:GO:0006260","F:DNA binding; P:DNA replication","","",NA,NA,NA
"459","NIS_RS02520",839.956879930205,-1.87523753009179,0.392272442952163,-4.78044676291593,1.74906071943366e-06,1.65784176325267e-05,367,"  hypothetical protein","  WP_012081837.1"," transl_table 11"," ","NIS_0460",NA,NA,NA,NA,NA,NA,NA,NA
"465","NIS_RS02555",5889.64885387529,-1.3006641920353,0.434548915060928,-2.9931364386284,0.00276126275925441,0.00919338071610584,373,"  hypothetical protein","  WP_012081843.1"," transl_table 11"," ","NIS_0466","phage head morphogenesis protein","","","","",NA,NA,NA
"466","NIS_RS02560",8523.72386506345,-1.60872474277913,0.339859454848201,-4.73350003900192,2.2068092115131e-06,2.05243617277345e-05,374,"  hypothetical protein","  WP_012081844.1"," transl_table 11"," ","NIS_0467","hypothetical protein","","","","",NA,NA,NA
"467","NIS_RS02565",902.635749085982,-1.56731543122839,0.376717873618291,-4.16044881591277,3.17622796377729e-05,0.000205624431249765,375,"  hypothetical protein","  WP_012081845.1"," transl_table 11"," ","NIS_0468","44 kDa structural protein","","","","",NA,NA,NA
"491","NIS_RS02700",294.715776794453,-1.23778500272279,0.381226515681754,-3.24684918757353,0.00116690205391579,0.00451967023224292,400,"  hypothetical protein","  WP_041353988.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","NIS_RS02710",889.769795925007,-2.75517727304826,0.303598157374834,-9.07507903497123,1.13595029461287e-19,2.25031753362809e-16,402,"  hypothetical protein","  WP_012081868.1"," transl_table 11"," ","NIS_0491","hypothetical protein","","","","",NA,NA,NA
"497","NIS_RS02730",893.598400898339,-1.33376930135353,0.338457585598579,-3.94072805014752,8.12346803625543e-05,0.000455763743984073,406,"  winged helix-turn-helix transcriptional regulator","  WP_012081872.1"," transl_table 11"," ","NIS_0495","winged helix-turn-helix transcriptional regulator","P:GO:0000160; F:GO:0003677; P:GO:0006355","P:phosphorelay signal transduction system; F:DNA binding; P:regulation of transcription, DNA-templated","","",NA,NA,NA
"502","NIS_RS02755",405.994084707915,-1.92554423063919,0.612762585048184,-3.14239850412502,0.00167569797929748,0.00617018159291508,411,"  PqqD family protein","  WP_041353990.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","NIS_RS02845",291.894905020484,-1.23703349566452,0.365252074404131,-3.3867938948262,0.000707144906201278,0.00288770709380712,426,"  hypothetical protein","  WP_041353992.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","NIS_RS02860",1323.04557838656,-1.11213224053644,0.3017710977048,-3.68535041624282,0.000228388189606593,0.0011254651831111,427,"  DNA mismatch repair protein MutS","  WP_197524247.1"," transl_table 11"," ","NIS_0517","DNA mismatch repair protein","F:GO:0005524; P:GO:0006298; F:GO:0030983","F:ATP binding; P:mismatch repair; F:mismatched DNA binding","","",NA,NA,NA
"522","NIS_RS02875",496.56079614518,-1.50284944384991,0.370183712024089,-4.05973951590857,4.91274909683578e-05,0.000297704167856903,430,"  GGDEF and EAL domain-containing protein","  WP_012081895.1"," transl_table 11"," ","NIS_0518","EAL domain-containing protein","F:GO:0003824; C:GO:0016021","F:catalytic activity; C:integral component of membrane","","",NA,NA,NA
"523","NIS_RS02880",210.727531498332,-2.06504002233144,0.363930308795051,-5.67427326723253,1.3927865028553e-08,2.62772386872034e-07,431,"  hypothetical protein","  WP_012081896.1"," transl_table 11"," ","NIS_0519","hypothetical protein","","","","",NA,NA,NA
"524","NIS_RS02885",3259.00171028236,-1.27423875075809,0.339335761379315,-3.7550971509122,0.000173274253988385,0.000875653819262732,432,"  TonB-dependent receptor","  WP_012081897.1"," transl_table 11"," ","NIS_0520","TonB-dependent receptor plug domain-containing protein","C:GO:0009279; C:GO:0016021","C:cell outer membrane; C:integral component of membrane","","",NA,NA,NA
"526","NIS_RS02895",233.402443163479,-1.2311227986567,0.456831976319892,-2.69491380304477,0.00704068421649951,0.0197558008964384,433,"  3'-5' exonuclease","  WP_012081899.1"," transl_table 11"," ","NIS_0522","3'-5' exonuclease","F:GO:0003676; F:GO:0003887; P:GO:0071897","F:nucleic acid binding; F:DNA-directed DNA polymerase activity; P:DNA biosynthetic process","EC:2.7.7.7","DNA-directed DNA polymerase",NA,NA,NA
"533","NIS_RS02930",394.651351527269,-1.42968246652938,0.374324824975486,-3.81936321381572,0.000133796629173857,0.000706802993049093,440,"  DUF255 domain-containing protein","  WP_012081906.1"," transl_table 11"," ","NIS_0529","DUF255 domain-containing protein","","","","",NA,NA,NA
"534","NIS_RS02935",159.018236284025,-1.21061786575921,0.430672535493882,-2.81099388975643,0.00493887238258646,0.0148465951288373,441,"  HIT domain-containing protein","  WP_173026297.1"," transl_table 11"," ","NIS_0530","HIT family protein","F:GO:0016787","F:hydrolase activity","","",NA,NA,NA
"567","NIS_RS03115",1832.0654429986,-1.70706614497316,0.31972205861793,-5.33921917165284,9.33477413581287e-08,1.31150266404577e-06,467,"  L,D-transpeptidase family protein","  WP_012081941.1"," transl_table 11"," ","NIS_0564","L,D-transpeptidase family protein","F:GO:0016740","F:transferase activity","","",NA,NA,NA
"568","NIS_RS03120",769.897403809191,-1.4546431759248,0.349961351373343,-4.1565823489262,3.23043764449015e-05,0.000208452670154234,468,"  1-aminocyclopropane-1-carboxylate deaminase","  WP_012081942.1"," transl_table 11"," ","NIS_0565","1-aminocyclopropane-1-carboxylate deaminase","","","","",NA,NA,NA
"576","NIS_RS03165",421.776641981867,-2.82139993588417,0.33912881341361,-8.31955240689949,8.82961093387486e-17,3.49829185200122e-14,475,"  nucleotidyltransferase domain-containing protein","  WP_012081951.1"," transl_table 11"," ","NIS_0574","DNA polymerase subunit beta","F:GO:0016740","F:transferase activity","","",NA,NA,NA
"577","NIS_RS03170",679.551105296194,-1.9577309056942,0.285936654811142,-6.84672941630115,7.55574349377219e-12,4.04538590842236e-10,476,"  DUF86 domain-containing protein","  WP_012081952.1"," transl_table 11"," ","NIS_0575","DUF86 domain-containing protein","","","","",NA,NA,NA
"578","NIS_RS03175",1206.70576493685,-1.7478213724709,0.344934301922621,-5.06711383219578,4.03892772814758e-07,4.52040442342393e-06,477,"  c-type cytochrome","  WP_012081953.1"," transl_table 11"," ","NIS_0576","c-type cytochrome","F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872","F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding","","",NA,NA,NA
